entity_a,entity_b,relationship_type,strength
Palm Beach Police Department,Michael Reiter,co-mentioned,3
Glenn Dubin,Prince Andrew,co-mentioned,3
Lesley Groff,Sarah Kellen,co-mentioned,3
Sergey Brin,Prince Andrew,co-mentioned,3
Jeffrey Epstein,Joseph Recarey,co-mentioned,3
Federal Bureau of Investigation,Jeffrey Epstein,investigation,3
Jeffrey Epstein,Lawrence Krauss,co-mentioned,3
Palm Beach Mansion,Palm Beach Police Department,co-mentioned,3
Donald Trump,Leslie Wexner,co-mentioned,3
Donald Trump,Virginia Giuffre,co-mentioned,3
Virginia Giuffre,David Boies,co-mentioned,3
Bill Clinton,Naomi Campbell,co-mentioned,3
Jeffrey Epstein,Michael Jackson,co-mentioned,3
David Copperfield,Prince Andrew,co-mentioned,3
Annie Farmer,Ghislaine Maxwell,co-mentioned,3
Bill Richardson,Prince Andrew,co-mentioned,3
Donald Trump,George Mitchell,co-mentioned,3
Harvey Weinstein,Glenn Dubin,co-mentioned,3
Zorro Ranch,Virginia Giuffre,co-mentioned,3
Jeffrey Epstein,Steve Bannon,co-mentioned,3
Jeffrey Epstein,"St. Thomas, USVI",co-mentioned,3
Glenn Dubin,David Copperfield,co-mentioned,3
Donald Trump,Sergey Brin,co-mentioned,3
Harvey Weinstein,Geoffrey Berman,co-mentioned,3
Jeffrey Epstein,David Copperfield,social-associate,3
Great St. James Island,Little St. James Island,co-mentioned,3
Carolyn (Trial Witness),Ghislaine Maxwell,co-mentioned,3
Donald Trump,David Boies,co-mentioned,3
Jane (Trial Witness),Ghislaine Maxwell,co-mentioned,3
Southern District of New York (SDNY),Ghislaine Maxwell,prosecution,3
Haley Robson,Joseph Recarey,co-mentioned,3
Donald Trump,Peter Mandelson,co-mentioned,2
Donald Trump,Tom Barrack,co-mentioned,2
Donald Trump,Stephen Hawking,co-mentioned,2
Donald Trump,Naomi Campbell,co-mentioned,2
Donald Trump,Demi Moore,co-mentioned,2
Donald Trump,Henry Kissinger,co-mentioned,2
Donald Trump,Tony Blair,co-mentioned,2
Donald Trump,Woody Allen,co-mentioned,2
Woody Allen,Michael Jackson,co-mentioned,2
Woody Allen,Prince Andrew,co-mentioned,2
Donald Trump,Itzhak Perlman,co-mentioned,2
Donald Trump,Rupert Murdoch,co-mentioned,2
Teterboro Airport,Jeffrey Epstein,co-mentioned,2
Woody Allen,Rupert Murdoch,co-mentioned,2
Leslie Wexner,Noam Chomsky,co-mentioned,2
Leslie Wexner,Peter Mandelson,co-mentioned,2
Leslie Wexner,Tom Barrack,co-mentioned,2
Leslie Wexner,Stephen Hawking,co-mentioned,2
Leslie Wexner,Naomi Campbell,co-mentioned,2
Leslie Wexner,Demi Moore,co-mentioned,2
Leslie Wexner,Glenn Dubin,co-mentioned,2
Leslie Wexner,Henry Kissinger,co-mentioned,2
Nadia Marcinkova,Alan Dershowitz,co-mentioned,2
Bill Clinton,David Rodgers,co-mentioned,2
Bill Clinton,"St. Thomas, USVI",co-mentioned,2
MC2 Model Management,Ghislaine Maxwell,co-mentioned,2
Marvin Minsky,Little St. James Island,co-mentioned,2
Leslie Wexner,Tony Blair,co-mentioned,2
Leslie Wexner,David Copperfield,co-mentioned,2
Woody Allen,Itzhak Perlman,co-mentioned,2
Leslie Wexner,Sergey Brin,co-mentioned,2
Leslie Wexner,Woody Allen,co-mentioned,2
Leslie Wexner,George Mitchell,co-mentioned,2
Leslie Wexner,Itzhak Perlman,co-mentioned,2
Leslie Wexner,Rupert Murdoch,co-mentioned,2
Palm Beach Mansion,Michael Reiter,co-mentioned,2
Zorro Ranch,Bill Richardson,co-mentioned,2
Chris Tucker,David Rodgers,co-mentioned,2
Leslie Wexner,Michael Jackson,co-mentioned,2
Ehud Barak,Prince Andrew,co-mentioned,2
Harvey Weinstein,Bill Richardson,co-mentioned,2
Chris Tucker,Prince Andrew,co-mentioned,2
Sergey Brin,Michael Jackson,co-mentioned,2
Glenn Dubin,Jean-Luc Brunel,co-mentioned,2
Zorro Ranch,Denise George,co-mentioned,2
Zorro Ranch,Little St. James Island,co-mentioned,2
David Rodgers,Kevin Spacey,co-mentioned,2
Alan Dershowitz,Marvin Minsky,co-mentioned,2
Alan Dershowitz,Glenn Dubin,co-mentioned,2
Alan Dershowitz,David Copperfield,co-mentioned,2
Ehud Barak,Bill Richardson,co-mentioned,2
Alan Dershowitz,Jean-Luc Brunel,co-mentioned,2
Sergey Brin,Rupert Murdoch,co-mentioned,2
Prince Andrew,Kevin Spacey,co-mentioned,2
Great St. James Island,"St. Thomas, USVI",co-mentioned,2
Great St. James Island,Denise George,co-mentioned,2
Great St. James Island,USVI Attorney General,co-mentioned,2
"St. Thomas, USVI",Denise George,co-mentioned,2
"St. Thomas, USVI",Little St. James Island,co-mentioned,2
"St. Thomas, USVI",USVI Attorney General,co-mentioned,2
Sergey Brin,Itzhak Perlman,co-mentioned,2
Sergey Brin,Woody Allen,co-mentioned,2
Courtney Wild,Paul Cassell,co-mentioned,2
Courtney Wild,Brad Edwards,co-mentioned,2
Jean-Luc Brunel,Bill Richardson,co-mentioned,2
Alan Dershowitz,Adriana Ross,co-mentioned,2
Jeffrey Epstein,Noam Chomsky,co-mentioned,2
Jeffrey Epstein,Tom Barrack,co-mentioned,2
Jeffrey Epstein,Stephen Hawking,co-mentioned,2
Jeffrey Epstein,Demi Moore,co-mentioned,2
Haley Robson,Michael Reiter,co-mentioned,2
Jeffrey Epstein,Henry Kissinger,co-mentioned,2
Jeffrey Epstein,Tony Blair,co-mentioned,2
Bill Clinton,Bill Richardson,co-mentioned,2
Jeffrey Epstein,Woody Allen,co-mentioned,2
Ehud Barak,Ghislaine Maxwell,co-mentioned,2
Jeffrey Epstein,Barclays,co-mentioned,2
Barclays,Jes Staley,co-mentioned,2
Jeffrey Epstein,Itzhak Perlman,co-mentioned,2
Jeffrey Epstein,Rupert Murdoch,co-mentioned,2
David Copperfield,Michael Jackson,co-mentioned,2
David Copperfield,Rupert Murdoch,co-mentioned,2
Noam Chomsky,Peter Mandelson,co-mentioned,2
Noam Chomsky,Tom Barrack,co-mentioned,2
Noam Chomsky,Stephen Hawking,co-mentioned,2
Noam Chomsky,Naomi Campbell,co-mentioned,2
Noam Chomsky,Demi Moore,co-mentioned,2
Noam Chomsky,Glenn Dubin,co-mentioned,2
Noam Chomsky,Henry Kissinger,co-mentioned,2
Noam Chomsky,Tony Blair,co-mentioned,2
Noam Chomsky,David Copperfield,co-mentioned,2
David Copperfield,Itzhak Perlman,co-mentioned,2
Noam Chomsky,Sergey Brin,co-mentioned,2
Noam Chomsky,Woody Allen,co-mentioned,2
Lesley Groff,Alexander Acosta,co-mentioned,2
Noam Chomsky,Itzhak Perlman,co-mentioned,2
Noam Chomsky,Rupert Murdoch,co-mentioned,2
David Copperfield,Woody Allen,co-mentioned,2
Noam Chomsky,Prince Andrew,co-mentioned,2
David Copperfield,Sergey Brin,co-mentioned,2
Glenn Dubin,George Mitchell,co-mentioned,2
Tony Blair,Michael Jackson,co-mentioned,2
Noam Chomsky,Michael Jackson,co-mentioned,2
Peter Mandelson,Tom Barrack,co-mentioned,2
David Copperfield,Jean-Luc Brunel,co-mentioned,2
Tony Blair,Prince Andrew,co-mentioned,2
Tony Blair,Rupert Murdoch,co-mentioned,2
Tony Blair,Itzhak Perlman,co-mentioned,2
Peter Mandelson,Stephen Hawking,co-mentioned,2
Peter Mandelson,Naomi Campbell,co-mentioned,2
Peter Mandelson,Demi Moore,co-mentioned,2
Ehud Barak,George Mitchell,co-mentioned,2
Harvey Weinstein,Julie K. Brown,co-mentioned,2
Tony Blair,Woody Allen,co-mentioned,2
Tony Blair,Sergey Brin,co-mentioned,2
Lesley Groff,Federal Bureau of Investigation,co-mentioned,2
Bill Clinton,Little St. James Island,co-mentioned,2
Peter Mandelson,Glenn Dubin,co-mentioned,2
Jean-Luc Brunel,George Mitchell,co-mentioned,2
Tony Blair,David Copperfield,co-mentioned,2
Henry Kissinger,Michael Jackson,co-mentioned,2
Leon Black,Brad Edwards,co-mentioned,2
Henry Kissinger,Prince Andrew,co-mentioned,2
Jean-Luc Brunel,MC2 Model Management,co-mentioned,2
Henry Kissinger,Rupert Murdoch,co-mentioned,2
Henry Kissinger,Itzhak Perlman,co-mentioned,2
Jeffrey Epstein,Marvin Minsky,social-associate,2
Henry Kissinger,Woody Allen,co-mentioned,2
Peter Mandelson,Henry Kissinger,co-mentioned,2
Steve Bannon,Ghislaine Maxwell,co-mentioned,2
Henry Kissinger,Sergey Brin,co-mentioned,2
Maurene Comey,Jeffrey Epstein,co-mentioned,2
Bill Clinton,Denise George,co-mentioned,2
Sarah Kellen,Federal Bureau of Investigation,co-mentioned,2
Ehud Barak,Jean-Luc Brunel,co-mentioned,2
Peter Mandelson,Tony Blair,co-mentioned,2
Peter Mandelson,David Copperfield,co-mentioned,2
Henry Kissinger,David Copperfield,co-mentioned,2
Peter Mandelson,Sergey Brin,co-mentioned,2
Leslie Wexner,Ghislaine Maxwell,co-mentioned,2
Henry Kissinger,Tony Blair,co-mentioned,2
Peter Mandelson,Woody Allen,co-mentioned,2
Bill Clinton,Ehud Barak,co-mentioned,2
Glenn Dubin,Bill Richardson,co-mentioned,2
Peter Mandelson,Itzhak Perlman,co-mentioned,2
Leslie Wexner,Chris Tucker,co-mentioned,2
Peter Mandelson,Rupert Murdoch,co-mentioned,2
Glenn Dubin,Michael Jackson,co-mentioned,2
Peter Mandelson,Prince Andrew,co-mentioned,2
Peter Mandelson,Michael Jackson,co-mentioned,2
Tom Barrack,Stephen Hawking,co-mentioned,2
Tom Barrack,Naomi Campbell,co-mentioned,2
Tom Barrack,Demi Moore,co-mentioned,2
Tom Barrack,Glenn Dubin,co-mentioned,2
Donald Trump,Kevin Spacey,co-mentioned,2
Tom Barrack,Henry Kissinger,co-mentioned,2
Tom Barrack,Tony Blair,co-mentioned,2
Tom Barrack,David Copperfield,co-mentioned,2
Glenn Dubin,Rupert Murdoch,co-mentioned,2
Alan Dershowitz,David Boies,co-mentioned,2
Alan Dershowitz,Sigrid McCawley,co-mentioned,2
Geoffrey Berman,Leon Black,co-mentioned,2
Geoffrey Berman,Bill Richardson,co-mentioned,2
Leon Black,Bill Richardson,co-mentioned,2
Donald Trump,Steve Bannon,co-mentioned,2
